medcodeid,term,primary,ae,op,hospital
5952131000006116,referral to clinical biochemistry service,,,1,
5954151000006117,referral to clinical cytogeneticist,,,1,
5951761000006118,referral to clinical cytogenetics service,,,1,
5954141000006119,referral to clinical geneticist,,,1,
5951751000006115,referral to clinical genetics service,,,1,
5963911000006110,referral to clinical haematologist,,,1,
5963921000006119,referral to clinical hematologist,,,1,
451826014,referral to clinical immunologist,,,1,
4724241000006114,referral to clinical immunology service,,,1,
8061371000006118,referral to clinical medical officer,,,1,
1863631000006118,referral to clinical nurse specialist,,,1,
449300015,referral to clinical nurse specialist,,,1,
5952051000006112,referral to clinical oncology service,,,1,
4724431000006117,referral to clinical pharmacologist,,,1,
5951711000006116,referral to clinical pharmacology service,,,1,
5954121000006114,referral to clinical physiologist,,,1,
1575881000006111,referral to clinical physiology,,,1,
5951721000006112,referral to clinical physiology service,,,1,
755271000000116,referral to community anticoagulation clinic,1,,,
8280391000006118,referral to community audiology clinic,1,,,
1774611000006117,referral to community cardiology clinic,1,,,
8428531000006117,referral to community diabetes antenatal clinic,1,,,
2182651000000118,referral to community diabetes clinic,1,,,
8280621000006112,referral to community leg ulcer clinic,1,,,
1935951000006116,referral to community nephrology clinic,1,,,
8280601000006119,referral to community neurology clinic,1,,,
2182691000000114,referral to community paediatric clinic,1,,,
1925611000006114,referral to community parkinson's disease clinical nurse specialist,1,,,
8280571000006114,referral to community rheumatology clinic,1,,,
8259701000006112,referral to coronary heart disease clinic,,,1,
5978971000006115,referral to day hospital,,,1,
7148321000006117,referral to deep vein thrombosis (dvt) clinic,,,1,
1638531000006113,referral to deep vein thrombosis clinic,,,1,
601961000000117,referral to deep vein thrombosis clinic,,,1,
1120171000000114,referral to dermatology clinical assessment service,,,1,
8259591000006113,referral to diabetic clinic,,,1,
308811000000110,referral to diabetic eye clinic,,,1,
7148331000006119,referral to dvt clinic,,,1,
1780181019,referral to eating disorders clinic,,,1,
1764491000006116,referral to eating disorders outreach clinic,,,1,
1137101000000119,referral to eczema clinic,,,1,
406941000000112,referral to elderly falls prevention clinic,,,1,
5952961000006110,referral to elderly mentally ill day hospital,,,1,
284072015,referral to emergency clinic,,,1,
2112801000000117,referral to epilepsy clinic,,,1,
535031000000113,referral to fracture clinic,,,1,
1851351000006112,referral to frailty clinic,,,1,
1120231000000116,referral to gastroenterology clinical assessment service,,,1,
2731691000000116,referral to general practice service,1,,,
2533397015,referral to genitourinary clinic,,,1,
5952911000006112,referral to geriatric day hospital,,,1,
2533408017,referral to glaucoma clinic,,,1,
2287031000000117,referral to haematuria clinic,,,1,
216246012,referral to heart failure clinic,,,1,
7535041000006114,referral to hematuria clinic,,,1,
5999991000006117,referral to hospital,,,1,
284062018,referral to hypertension clinic,,,1,
753501000000111,referral to infectious disease clinic,,,1,
298211000000119,referral to leg ulcer clinic,,,1,
284058012,referral to lipid clinic,,,1,
2534215016,referral to memory clinic,,,1,
299991000000112,referral to multidisciplinary diabetic clinic,,,1,
2303211000000117,referral to multidisciplinary obesity clinic,,,1,
8259681000006114,referral to older person clinic,,,1,
2474275011,referral to osteoporosis clinic,,,1,
284071010,referral to other clinic,,,1,
8438941000006117,referral to outpatients department,,,1,
8259711000006110,referral to pain management clinic,,,1,
1969711000006110,referral to palliative care outpatient service,,,1,
13486251000006116,referral to post-covid assessment clinic,,,1,
5951491000006117,referral to primary health care clinic,1,,,
2253851000000116,referral to rapid access care of the elderly clinic,,,1,
459476016,referral to rapid access chest pain clinic,,,1,
2256811000000114,referral to rapid access heart failure clinic,,,1,
2253891000000112,referral to rapid access temporal arteritis clinic,,,1,
1779671000006113,referral to rectal bleeding clinic,,,1,
3516333019,referral to respiratory clinic,,,1,
8259571000006112,referral to respiratory clinic,,,1,
2533535012,referral to rheumatology clinic,,,1,
7509911000006119,referral to sleep apnea clinic,,,1,
7509901000006117,referral to sleep apnoea clinic,,,1,
634561000000115,referral to sleep clinic,,,1,
1485131018,referral to soft tissue injury clinic,,,1,
2474330011,referral to stroke clinic,,,1,
7599261000006111,referral to transient ischaemic attack clinic,,,1,
7599271000006116,referral to transient ischemic attack clinic,,,1,
1551131000000110,referral to tropical medicine clinic,,,1,
7568201000006119,rehabilitation clinic,,,1,
283547018,renal medicine emergency hospital admission,,,,1
4723701000006118,renal medicine emergency hospital admission,,,,1
7568211000006116,respiratory disease clinic,,,1,
6763061000006115,respiratory emergency hospital admission,,,,1
12702651000006117,review at hospital,,1,,
265638012,review at hospital,,1,,
265639016,reviewed at hospital,,1,,
12451841000006111,reviewed at hospital,,1,,
7568221000006112,rheumatology clinic,,,1,
283536013,rheumatology emergency hospital admission,,,,1
4723491000006116,rheumatology emergency hospital admission,,,,1
3244721000006119,secondary care hospital,,,,1
5943451000006114,seen by clinical allergist,,,1,
448351017,seen by clinical allergy - service,,,1,
5945331000006110,seen by clinical allergy service,,,1,
5943381000006110,seen by clinical biochemist,,,1,
5945721000006111,seen by clinical biochemistry service,,,1,
5943601000006112,seen by clinical cytogeneticist,,,1,
5945491000006116,seen by clinical cytogenetics service,,,1,
5943591000006116,seen by clinical geneticist,,,1,
5945481000006119,seen by clinical genetics service,,,1,
5963951000006111,seen by clinical haematologist,,,1,
5963961000006113,seen by clinical hematologist,,,1,
5943501000006111,seen by clinical immunologist,,,1,
5945391000006114,seen by clinical immunology service,,,1,
5943621000006119,seen by clinical molecular geneticist,,,1,
5945501000006112,seen by clinical molecular genetics service,,,1,
5943511000006114,seen by clinical neurophysiologist,,,1,
5945401000006111,seen by clinical neurophysiology service,,,1,
448256013,seen by clinical nurse specialist,,,1,
1709171000006111,seen by clinical nurse specialist,,,1,
5943101000006116,seen by clinical oncologist,,,1,
5945241000006112,seen by clinical oncology service,,,1,
12736801000006113,seen by clinical pharmacist,,,1,
12738601000006111,seen by clinical pharmacist in care home,,,1,
448168010,seen by clinical pharmacologist,,,1,
5945411000006114,seen by clinical pharmacology service,,,1,
5943531000006115,seen by clinical physiologist,,,1,
5945421000006118,seen by clinical physiology service,,,1,
6718431000006110,seen by clinical psychologist,,,1,
5946171000006116,seen by hospital base speech and language therapy service,,,1,
5944901000006116,seen by hospital chiropodist,,,1,
5945931000006111,seen by hospital chiropody service,,,1,
5945981000006112,seen by hospital dietetics service,,,1,
5944941000006119,seen by hospital dietitian,,,1,
4734371000006112,seen by hospital midwife,,,1,
285301012,seen by hospital nurse,,,1,
5945001000006116,seen by hospital occupational therapist,,,1,
5946051000006110,seen by hospital occupational therapy service,,,1,
5945081000006113,seen by hospital physiotherapist,,,1,
5946131000006119,seen by hospital physiotherapy service,,,1,
5944891000006115,seen by hospital podiatrist,,,1,
5945921000006113,seen by hospital podiatry service,,,1,
5945151000006118,seen by hospital speech and language therapist,,,1,
5946181000006118,seen by hospital speech and language therapy service,,,1,
5944881000006118,seen by hospital-based chiropodist,,,1,
5945971000006114,seen by hospital-based dietetics service,,,1,
5944931000006112,seen by hospital-based dietitian,,,1,
153201000006110,seen by hospital-based midwife,,,1,
5944991000006111,seen by hospital-based occupational therapist,,,1,
5946041000006113,seen by hospital-based occupational therapy service,,,1,
5945071000006110,seen by hospital-based physiotherapist,,,1,
5946121000006117,seen by hospital-based physiotherapy service,,,1,
5944871000006116,seen by hospital-based podiatrist,,,1,
5945911000006117,seen by hospital-based podiatry service,,,1,
5945141000006115,seen by hospital-based speech and language therapist,,,1,
285239019,seen in asthma clinic,,,1,
285170015,seen in audiology clinic,,,1,
456934015,seen in baby clinic,,,1,
1715251000000119,seen in bariatric surgery clinic,,,1,
1757691000006116,seen in bariatric surgery clinic,,,1,
754701000000118,seen in bone marrow transplantation clinic,,,1,
285221011,seen in cardiac clinic,,,1,
285222016,seen in cardiology clinic,,,1,
5946751000006113,seen in care of the elderly day hospital,,,1,
285237017,seen in chest clinic,,,1,
1839331000006117,seen in chronic obstructive pulmonary disease clinic,,,1,
2219551000000113,seen in chronic obstructive pulmonary disease clinic,,,1,
451322017,seen in clinic,,,1,
285241018,seen in colorectal clinic,,,1,
285240017,seen in colposcopy clinic,,,1,
668111000000114,seen in community anticoagulation clinic,1,,,
8126031000006110,seen in community clinic,1,,,
8428511000006111,seen in community diabetes antenatal clinic,1,,,
2549069011,seen in community diabetes specialist clinic,1,,,
2549222013,seen in community diabetic specialist nurse clinic,1,,,
1681011000006114,seen in community disease modifying antirheumatic drug monitoring clinic,1,,,
2297741000000112,seen in community lymphoedema clinic,1,,,
667221000000111,seen in community paediatric clinic,1,,,
7221991000006113,seen in community pediatric clinic,1,,,
2694708014,seen in community respiratory clinic,1,,,
8195091000006114,seen in consultant led community clinic,,,1,
8294561000006110,seen in copd (chronic obstructive pulmonary disease) clinic,,,1,
1551091000000112,seen in cystic fibrosis clinic,,,1,
1728561000006113,seen in cystic fibrosis clinic,,,1,
5946701000006114,seen in day hospital,,,1,
405040010,seen in dermatology clinic,,,1,
285223014,seen in diabetic clinic,,,1,
457231013,seen in diabetic eye clinic,,,1,
2159271018,seen in diabetic foot clinic,,,1,
2549778010,seen in diabetic nurse consultant clinic,,,1,
285155016,seen in dietician clinic,,,1,
1824591000006113,seen in ear care clinic,,,1,
2195361000000115,seen in ear care clinic,,,1,
4733591000006119,"seen in ear, nose and throat clinic",,,1,
285229013,seen in elderly assessment clinic,,,1,
620971000000110,seen in elderly care clinic,,,1,
4733911000006119,seen in electromyography clinic,,,1,
285266019,seen in emergency clinic,,,1,
153671000006119,seen in emergency clinic,,,1,
285250016,seen in emg clinic,,,1,
285256010,seen in endocrine clinic,,,1,
285215012,seen in ent clinic,,,1,
2692343011,seen in epilepsy clinic,,,1,
753701000000115,seen in fast track suspected brain tumour clinic,,,1,
753761000000116,seen in fast track suspected breast cancer clinic,,,1,
754441000000113,seen in fast track suspected cancer clinic,,,1,
755591000000115,seen in fast track suspected childrens tumour clinic,,,1,
754221000000119,seen in fast track suspected colorectal cancer clinic,,,1,
753931000000112,seen in fast track suspected gynaecological cancer clinic,,,1,
1705451000006113,seen in fast track suspected haematological malignancy clinic,,,1,
754161000000115,seen in fast track suspected head and neck cancer clinic,,,1,
754281000000118,seen in fast track suspected lung cancer clinic,,,1,
753611000000112,seen in fast track suspected sarcoma clinic,,,1,
754341000000119,seen in fast track suspected skin cancer clinic,,,1,
1705501000006110,seen in fast track suspected upper gastrointestinal cancer clinic,,,1,
754611000000110,seen in fast track suspected urological cancer clinic,,,1,
285171016,seen in fracture clinic,,,1,
285242013,seen in gastroenterology clinic,,,1,
285234012,seen in gastroscopy clinic,,,1,
285238010,seen in general medical clinic,,,1,
668351000000110,seen in general practitioner anticoagulation clinic,,,1,
1681001000006111,seen in general practitioner disease modifying antirheumatic drug monitoring clinic,1,,,
153791000006113,seen in general surgery clinic,,,1,
285263010,seen in general surgery clinic,,,1,
4733221000006119,seen in genitourinary medicine clinic,,,1,
285264016,seen in geriatric clinic,,,1,
153811000006112,seen in geriatric clinic,,,1,
5946761000006110,seen in geriatric day hospital,,,1,
285244014,seen in haematology clinic,,,1,
1682771000006111,seen in haematuria clinic,,,1,
457008018,seen in hearing aid clinic,,,1,
2549243014,seen in heart failure clinic,,,1,
4733841000006113,seen in hematology clinic,,,1,
727961000000113,seen in hospital anticoagulation clinic,,,1,
285194015,seen in hospital casualty,,1,,
8125671000006111,seen in hospital clinic,,,1,
1681021000006118,seen in hospital disease modifying antirheumatic drug monitoring clinic,,,1,
285195019,seen in hospital out-pat.,,,1,
4733461000006114,seen in hospital outpatient department,,,1,
285196018,seen in hospital ward,,,1,
153941000006118,seen in hypertension clinic,,,1,
285265015,seen in hypertension clinic,,,1,
62911000000117,seen in immunology clinic,,,1,
755061000000117,seen in infectious diseases clinic,,,1,
1773381000006119,seen in in-house nurse-led diabetic clinic,,,1,
2693456012,seen in liver clinic,,,1,
2326351000000113,seen in lymphoedema clinic,,,1,
1890371000006116,seen in lymphoedema clinic,,,1,
557671000000111,seen in memory clinic,,,1,
621031000000119,seen in mental health clinic,,,1,
300021000000110,seen in multidisciplinary diabetic clinic,,,1,
2694292015,seen in musculoskeletal clinic,,,1,
285248012,seen in nephrology clinic,,,1,
285224015,seen in neurology clinic,,,1,
285245010,seen in neurosurgery clinic,,,1,
1587621000000115,seen in nuclear medicine clinic,,,1,
5946731000006118,seen in old age psychiatry day hospital,,,1,
285271014,seen in oncology clinic,,,1,
154061000006117,seen in oncology clinic,,,1,
459209014,seen in open access nurse clinic,,,1,
285214011,seen in ophthalmology clinic,,,1,
285253019,seen in oral surgery clinic,,,1,
285158019,seen in orthodontic clinic,,,1,
285252012,seen in orthopaedic clinic,,,1,
4733931000006113,seen in orthopedic clinic,,,1,
1485065015,seen in osteoporosis clinic,,,1,
154141000006117,seen in other clinic,,,1,
285246011,seen in pain clinic,,,1,
457268011,seen in private clinic,,,1,
285247019,seen in prostate clinic,,,1,
285228017,seen in psychiatry clinic,,,1,
5946711000006112,seen in psychiatry day hospital,,,1,
154301000006116,seen in psychogeriatric clinic,,,1,
285273012,seen in psychogeriatric clinic,,,1,
5946721000006116,seen in psychogeriatric day hospital,,,1,
154341000006119,seen in radiotherapy clinic,,,1,
285276016,seen in radiotherapy clinic,,,1,
459475017,seen in rapid access chest pain clinic,,,1,
1928501000006119,seen in rapid access clinic at gp surgery,,,1,
154381000006113,seen in rehabilitation clinic,,,1,
285277013,seen in rehabilitation clinic,,,1,
285249016,seen in renal clinic,,,1,
2691820014,seen in respiratory clinic,,,1,
285220012,seen in rheumatology clinic,,,1,
2694806018,seen in sleep clinic,,,1,
2372941000000113,seen in spinal clinic,,,1,
1910721000006112,seen in spinal clinic,,,1,
306621000000116,seen in stroke clinic,,,1,
620721000000113,seen in thoracic medicine clinic,,,1,
285169016,seen in varicose vein clinic,,,1,
457003010,seen in vascular clinic,,,1,
2004011000006115,seen in virtual clinic,,,1,
7568241000006117,seizure clinic,,,1,
7280391000006110,sleep apnea clinic,,,1,
7280381000006112,sleep apnoea clinic,,,1,
2582111000006114,speciality clinic admission,,,1,
2582121000006118,specialty clinic admission,,,1,
7568281000006111,stroke clinic,,,1,
1823511000006117,telephone contact by clinical nurse specialist,,,1,
7696751000006116,temporary clinic,,,1,
2822791000006114,tertiary care hospital,,,1,
5993721000006119,tertiary referral hospital,,,1,
6716231000006110,unexpected hospital admission,,,,1
7568311000006113,urgent care clinic,,,1,
7517441000006118,vascular surgery emergency hospital admission,,,,1
1137891000000117,vascular surgery emergency hospital admission,,,,1
