prodcodeid,dmdid,productname,formulation,routeofadministration,drugsubstancename,substancestrength,termfromemis,weak_opiate,strong_opiate,opiates_all,opiate_all
11707841000033100,32930411000001100,Buprenorphine 16mg / Naloxone 4mg sublingual tablets sugar free,Sublingual tablet,Sublingual,Buprenorphine hydrochloride/ Naloxone hydrochloride dihydrate,16.000mg + 4.000mg,buprenorphine 16mg / naloxone 4mg sublingual tablets sugar free,NA,1,1,1
11730741000033100,33054411000001100,Panitaz 10micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,10.000microgram/1.000hour,panitaz 10micrograms/hour transdermal patches (dr reddy's laboratories (uk) ltd),NA,1,1,1
11730841000033100,33054611000001100,Panitaz 20micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,20.000microgram/1.000hour,panitaz 20micrograms/hour transdermal patches (dr reddy's laboratories (uk) ltd),NA,1,1,1
11730941000033100,33054211000001100,Panitaz 5micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,5.000microgram/1.000hour,panitaz 5micrograms/hour transdermal patches (dr reddy's laboratories (uk) ltd),NA,1,1,1
11732241000033100,33038911000001100,Reletrans 10micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,10.000microgram/1.000hour,reletrans 10micrograms/hour transdermal patches (sandoz ltd),NA,1,1,1
11732341000033100,33039111000001100,Reletrans 15micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,15.000microgram/1.000hour,reletrans 15micrograms/hour transdermal patches (sandoz ltd),NA,1,1,1
11732441000033100,33039311000001100,Reletrans 20micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,20.000microgram/1.000hour,reletrans 20micrograms/hour transdermal patches (sandoz ltd),NA,1,1,1
11732541000033100,33038711000001100,Reletrans 5micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,5.000microgram/1.000hour,reletrans 5micrograms/hour transdermal patches (sandoz ltd),NA,1,1,1
11756241000033100,33480711000001100,Sevodyne 5micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,5.000microgram/1.000hour,sevodyne 5micrograms/hour transdermal patches (aspire pharma ltd),NA,1,1,1
11756341000033100,33480911000001100,Sevodyne 10micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,10.000microgram/1.000hour,sevodyne 10micrograms/hour transdermal patches (aspire pharma ltd),NA,1,1,1
11756441000033100,33481111000001100,Sevodyne 20micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,20.000microgram/1.000hour,sevodyne 20micrograms/hour transdermal patches (aspire pharma ltd),NA,1,1,1
11783041000033100,33523811000001100,Tramadol 75mg / Paracetamol 650mg tablets,Tablet,Oral,Paracetamol/ Tramadol hydrochloride,650.000mg + 75.000mg,tramadol 75mg / paracetamol 650mg tablets,NA,1,1,1
11789141000033100,33595511000001100,Buprenorphine 2mg oral lyophilisates sugar free,Oral lyophilisate,Oromucosal,Buprenorphine hydrochloride,2.000mg,buprenorphine 2mg oral lyophilisates sugar free,NA,1,1,1
11789241000033100,33595611000001100,Buprenorphine 8mg oral lyophilisates sugar free,Oral lyophilisate,Oromucosal,Buprenorphine hydrochloride,8.000mg,buprenorphine 8mg oral lyophilisates sugar free,NA,1,1,1
11789341000033100,33580211000001100,Espranor 2mg oral lyophilisates,Oral lyophilisate,Oromucosal,Buprenorphine hydrochloride,2.000mg,espranor 2mg oral lyophilisates (martindale pharmaceuticals ltd),NA,1,1,1
11789441000033100,33579811000001100,Espranor 8mg oral lyophilisates,Oral lyophilisate,Oromucosal,Buprenorphine hydrochloride,8.000mg,espranor 8mg oral lyophilisates (martindale pharmaceuticals ltd),NA,1,1,1
11808041000033100,33629211000001100,Leveraxo 10mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,10.000mg,leveraxo 10mg modified-release tablets (mylan),NA,1,1,1
11808141000033100,33629411000001100,Leveraxo 20mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,20.000mg,leveraxo 20mg modified-release tablets (mylan),NA,1,1,1
11808241000033100,33629611000001100,Leveraxo 30mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,30.000mg,leveraxo 30mg modified-release tablets (mylan),NA,1,1,1
11808341000033100,33629811000001100,Leveraxo 40mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,40.000mg,leveraxo 40mg modified-release tablets (mylan),NA,1,1,1
11808441000033100,33629011000001100,Leveraxo 5mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,5.000mg,leveraxo 5mg modified-release tablets (mylan),NA,1,1,1
11808541000033100,33630011000001100,Leveraxo 60mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,60.000mg,leveraxo 60mg modified-release tablets (mylan),NA,1,1,1
11808641000033100,33630211000001100,Leveraxo 80mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,80.000mg,leveraxo 80mg modified-release tablets (mylan),NA,1,1,1
12106841000033100,34027411000001100,Butec 15micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,15.000microgram/1.000hour,butec 15micrograms/hour transdermal patches (qdem pharmaceuticals ltd),NA,1,1,1
12185341000033100,34051611000001100,Onexila XL 10mg tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,10.000mg,onexila xl 10mg tablets (aspire pharma ltd),NA,1,1,1
12185541000033100,34051911000001100,Onexila XL 20mg tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,20.000mg,onexila xl 20mg tablets (aspire pharma ltd),NA,1,1,1
12185641000033100,34051311000001100,Onexila XL 40mg tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,40.000mg,onexila xl 40mg tablets (aspire pharma ltd),NA,1,1,1
12185741000033100,34052211000001100,Onexila XL 80mg tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,80.000mg,onexila xl 80mg tablets (aspire pharma ltd),NA,1,1,1
12187041000033100,34027611000001100,Shortec liquid 1mg/ml oral solution,Oral solution,Oral,Oxycodone hydrochloride,1.000mg/1.000ml,shortec liquid 5mg/5ml oral solution (qdem pharmaceuticals ltd),NA,1,1,1
12187141000033100,34027811000001100,Shortec 10mg/ml concentrate oral solution,Oral solution,Oral,Oxycodone hydrochloride,10.000mg/1.000ml,shortec 10mg/ml concentrate oral solution (qdem pharmaceuticals ltd),NA,1,1,1
12194941000033100,34172511000001100,Relevtec 35micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,35.000microgram/1.000hour,relevtec 35micrograms/hour transdermal patches (sandoz ltd),NA,1,1,1
12195041000033100,34172311000001100,Relevtec 52.5micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,52.500microgram/1.000hour,relevtec 52.5micrograms/hour transdermal patches (sandoz ltd),NA,1,1,1
12195141000033100,34172111000001100,Relevtec 70micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,70.000microgram/1.000hour,relevtec 70micrograms/hour transdermal patches (sandoz ltd),NA,1,1,1
12325741000033100,34551811000001100,Bupramyl 5micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,5.000microgram/1.000hour,bupramyl 5micrograms/hour transdermal patches (mylan),NA,1,1,1
12325941000033100,34552011000001100,Bupramyl 10micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,10.000microgram/1.000hour,bupramyl 10micrograms/hour transdermal patches (mylan),NA,1,1,1
12326041000033100,34552211000001100,Bupramyl 20micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,20.000microgram/1.000hour,bupramyl 20micrograms/hour transdermal patches (mylan),NA,1,1,1
12346441000033100,21964211000001100,Invodol SR 100mg tablets,Modified-release tablet,Oral,Tramadol hydrochloride,100.000mg,invodol sr 100mg tablets (ennogen healthcare ltd),NA,1,1,1
12346641000033100,21964411000001100,Invodol SR 150mg tablets,Modified-release tablet,Oral,Tramadol hydrochloride,150.000mg,invodol sr 150mg tablets (ennogen healthcare ltd),NA,1,1,1
12346741000033100,21964611000001100,Invodol SR 200mg tablets,Modified-release tablet,Oral,Tramadol hydrochloride,200.000mg,invodol sr 200mg tablets (ennogen healthcare ltd),NA,1,1,1
12350041000033100,21692911000001100,Tilodol SR 100mg tablets,Modified-release tablet,Oral,Tramadol hydrochloride,100.000mg,tilodol sr 100mg tablets (sandoz ltd),NA,1,1,1
12350141000033100,21694511000001100,Tilodol SR 150mg tablets,Modified-release tablet,Oral,Tramadol hydrochloride,150.000mg,tilodol sr 150mg tablets (sandoz ltd),NA,1,1,1
12350241000033100,21695111000001100,Tilodol SR 200mg tablets,Modified-release tablet,Oral,Tramadol hydrochloride,200.000mg,tilodol sr 200mg tablets (sandoz ltd),NA,1,1,1
12389041000033100,34733411000001100,Brimisol PR 100mg tablets,Modified-release tablet,Oral,Tramadol hydrochloride,100.000mg,brimisol pr 100mg tablets (bristol laboratories ltd),NA,1,1,1
12471541000033100,35029711000001100,Tramadol 75mg / Dexketoprofen 25mg tablets,Tablet,Oral,Dexketoprofen/ Tramadol hydrochloride,25.000mg + 75.000mg,tramadol 75mg / dexketoprofen 25mg tablets,NA,1,1,1
12471641000033100,35029011000001100,Skudexa 75mg/25mg tablets,Tablet,Oral,Dexketoprofen/ Tramadol hydrochloride,25.000mg + 75.000mg,skudexa 75mg/25mg tablets (a. menarini farmaceutica internazionale srl),NA,1,1,1
12603241000033100,35544511000001100,Bunov 10micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,10.000microgram/1.000hour,bunov 10micrograms/hour transdermal patches (glenmark pharmaceuticals europe ltd),NA,1,1,1
12603341000033100,35545111000001100,Bunov 20micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,20.000microgram/1.000hour,bunov 20micrograms/hour transdermal patches (glenmark pharmaceuticals europe ltd),NA,1,1,1
12603441000033100,35544311000001100,Bunov 5micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,5.000microgram/1.000hour,bunov 5micrograms/hour transdermal patches (glenmark pharmaceuticals europe ltd),NA,1,1,1
12603541000033100,35543711000001100,Carlosafine 35micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,35.000microgram/1.000hour,carlosafine 35micrograms/hour transdermal patches (glenmark pharmaceuticals europe ltd),NA,1,1,1
12603641000033100,35543911000001100,Carlosafine 52.5micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,52.500microgram/1.000hour,carlosafine 52.5micrograms/hour transdermal patches (glenmark pharmaceuticals europe ltd),NA,1,1,1
12603741000033100,35544111000001100,Carlosafine 70micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,70.000microgram/1.000hour,carlosafine 70micrograms/hour transdermal patches (glenmark pharmaceuticals europe ltd),NA,1,1,1
12636441000033100,35541911000001100,Renocontin 5mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,5.000mg,renocontin 5mg modified-release tablets (glenmark pharmaceuticals europe ltd),NA,1,1,1
12636541000033100,35542111000001100,Renocontin 10mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,10.000mg,renocontin 10mg modified-release tablets (glenmark pharmaceuticals europe ltd),NA,1,1,1
12636741000033100,35542311000001100,Renocontin 15mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,15.000mg,renocontin 15mg modified-release tablets (glenmark pharmaceuticals europe ltd),NA,1,1,1
12636941000033100,35542511000001100,Renocontin 20mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,20.000mg,renocontin 20mg modified-release tablets (glenmark pharmaceuticals europe ltd),NA,1,1,1
12637241000033100,35542711000001100,Renocontin 30mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,30.000mg,renocontin 30mg modified-release tablets (glenmark pharmaceuticals europe ltd),NA,1,1,1
12637341000033100,35542911000001100,Renocontin 40mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,40.000mg,renocontin 40mg modified-release tablets (glenmark pharmaceuticals europe ltd),NA,1,1,1
12637441000033100,35543311000001100,Renocontin 60mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,60.000mg,renocontin 60mg modified-release tablets (glenmark pharmaceuticals europe ltd),NA,1,1,1
12664541000033100,35846211000001100,Oxypro 10mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,10.000mg,oxypro 10mg modified-release tablets (ridge pharma ltd),NA,1,1,1
12664641000033100,35846411000001100,Oxypro 15mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,15.000mg,oxypro 15mg modified-release tablets (ridge pharma ltd),NA,1,1,1
12664741000033100,35846611000001100,Oxypro 20mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,20.000mg,oxypro 20mg modified-release tablets (ridge pharma ltd),NA,1,1,1
12664841000033100,35846811000001100,Oxypro 30mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,30.000mg,oxypro 30mg modified-release tablets (ridge pharma ltd),NA,1,1,1
12664941000033100,35847011000001100,Oxypro 40mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,40.000mg,oxypro 40mg modified-release tablets (ridge pharma ltd),NA,1,1,1
12665041000033100,35846011000001100,Oxypro 5mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,5.000mg,oxypro 5mg modified-release tablets (ridge pharma ltd),NA,1,1,1
12665141000033100,35847211000001100,Oxypro 60mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,60.000mg,oxypro 60mg modified-release tablets (ridge pharma ltd),NA,1,1,1
12665241000033100,35847411000001100,Oxypro 80mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,80.000mg,oxypro 80mg modified-release tablets (ridge pharma ltd),NA,1,1,1
12666341000033100,35857611000001100,Ixyldone 10mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,10.000mg,ixyldone 10mg modified-release tablets (morningside healthcare ltd),NA,1,1,1
12666441000033100,35857811000001100,Ixyldone 15mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,15.000mg,ixyldone 15mg modified-release tablets (morningside healthcare ltd),NA,1,1,1
12666541000033100,35858311000001100,Ixyldone 20mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,20.000mg,ixyldone 20mg modified-release tablets (morningside healthcare ltd),NA,1,1,1
12666641000033100,35857411000001100,Ixyldone 30mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,30.000mg,ixyldone 30mg modified-release tablets (morningside healthcare ltd),NA,1,1,1
12666741000033100,35857911000001100,Ixyldone 40mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,40.000mg,ixyldone 40mg modified-release tablets (morningside healthcare ltd),NA,1,1,1
12666841000033100,35853511000001100,Ixyldone 5mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,5.000mg,ixyldone 5mg modified-release tablets (morningside healthcare ltd),NA,1,1,1
12666941000033100,35858711000001100,Ixyldone 60mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,60.000mg,ixyldone 60mg modified-release tablets (morningside healthcare ltd),NA,1,1,1
12667041000033100,35859011000001100,Ixyldone 80mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,80.000mg,ixyldone 80mg modified-release tablets (morningside healthcare ltd),NA,1,1,1
1273741000033110,,,,,,,sevredol suppositories 10 mg,NA,1,1,1
1273841000033110,,,,,,,sevredol suppositories 20 mg,NA,1,1,1
1273941000033110,,,,,,,sevredol suppositories 30 mg,NA,1,1,1
1276641000033110,3079311000001100,Sevredol 50mg tablets,Tablet,Oral,Morphine sulfate,50.000mg,sevredol 50mg tablets (napp pharmaceuticals ltd),NA,1,1,1
1278541000033110,2898611000001100,Sevredol 10mg tablets,Tablet,Oral,Morphine sulfate,10.000mg,sevredol 10mg tablets (napp pharmaceuticals ltd),NA,1,1,1
1278641000033110,3077311000001100,Sevredol 20mg tablets,Tablet,Oral,Morphine sulfate,20.000mg,sevredol 20mg tablets (napp pharmaceuticals ltd),NA,1,1,1
12905441000033100,36751611000001100,Buprenorphine 128mg/0.36ml prolonged-release solution for injection pre-filled syringes,Prolonged-release solution for injection,Subcutaneous,Buprenorphine,355.560mg/1.000ml,buprenorphine 128mg/0.36ml prolonged-release solution for injection pre-filled syringes,NA,1,1,1
12905541000033100,36751711000001100,Buprenorphine 16mg/0.32ml prolonged-release solution for injection pre-filled syringes,Prolonged-release solution for injection,Subcutaneous,Buprenorphine,50.000mg/1.000ml,buprenorphine 16mg/0.32ml prolonged-release solution for injection pre-filled syringes,NA,1,1,1
12905641000033100,36751911000001100,Buprenorphine 24mg/0.48ml prolonged-release solution for injection pre-filled syringes,Prolonged-release solution for injection,Subcutaneous,Buprenorphine,50.000mg/1.000ml,buprenorphine 24mg/0.48ml prolonged-release solution for injection pre-filled syringes,NA,1,1,1
12905741000033100,36752211000001100,Buprenorphine 32mg/0.64ml prolonged-release solution for injection pre-filled syringes,Prolonged-release solution for injection,Subcutaneous,Buprenorphine,50.000mg/1.000ml,buprenorphine 32mg/0.64ml prolonged-release solution for injection pre-filled syringes,NA,1,1,1
12905841000033100,36752311000001100,Buprenorphine 64mg/0.18ml prolonged-release solution for injection pre-filled syringes,Prolonged-release solution for injection,Subcutaneous,Buprenorphine,355.560mg/1.000ml,buprenorphine 64mg/0.18ml prolonged-release solution for injection pre-filled syringes,NA,1,1,1
12905941000033100,36752411000001100,Buprenorphine 8mg/0.16ml prolonged-release solution for injection pre-filled syringes,Prolonged-release solution for injection,Subcutaneous,Buprenorphine,50.000mg/1.000ml,buprenorphine 8mg/0.16ml prolonged-release solution for injection pre-filled syringes,NA,1,1,1
12906041000033100,36752511000001100,Buprenorphine 96mg/0.27ml prolonged-release solution for injection pre-filled syringes,Prolonged-release solution for injection,Subcutaneous,Buprenorphine,355.560mg/1.000ml,buprenorphine 96mg/0.27ml prolonged-release solution for injection pre-filled syringes,NA,1,1,1
12906141000033100,36734811000001100,Buvidal 128mg/0.36ml prolonged-release solution for injection pre-filled syringes,Prolonged-release solution for injection,Subcutaneous,Buprenorphine,355.560mg/1.000ml,buvidal 128mg/0.36ml prolonged-release solution for injection pre-filled syringes (camurus ab),NA,1,1,1
12906241000033100,36727911000001100,Buvidal 16mg/0.32ml prolonged-release solution for injection pre-filled syringes,Prolonged-release solution for injection,Subcutaneous,Buprenorphine,50.000mg/1.000ml,buvidal 16mg/0.32ml prolonged-release solution for injection pre-filled syringes (camurus ab),NA,1,1,1
12906341000033100,36728611000001100,Buvidal 24mg/0.48ml prolonged-release solution for injection pre-filled syringes,Prolonged-release solution for injection,Subcutaneous,Buprenorphine,50.000mg/1.000ml,buvidal 24mg/0.48ml prolonged-release solution for injection pre-filled syringes (camurus ab),NA,1,1,1
12906441000033100,36730411000001100,Buvidal 32mg/0.64ml prolonged-release solution for injection pre-filled syringes,Prolonged-release solution for injection,Subcutaneous,Buprenorphine,50.000mg/1.000ml,buvidal 32mg/0.64ml prolonged-release solution for injection pre-filled syringes (camurus ab),NA,1,1,1
12906541000033100,36732011000001100,Buvidal 64mg/0.18ml prolonged-release solution for injection pre-filled syringes,Prolonged-release solution for injection,Subcutaneous,Buprenorphine,355.560mg/1.000ml,buvidal 64mg/0.18ml prolonged-release solution for injection pre-filled syringes (camurus ab),NA,1,1,1
12906641000033100,36726711000001100,Buvidal 8mg/0.16ml prolonged-release solution for injection pre-filled syringes,Prolonged-release solution for injection,Subcutaneous,Buprenorphine,50.000mg/1.000ml,buvidal 8mg/0.16ml prolonged-release solution for injection pre-filled syringes (camurus ab),NA,1,1,1
12906741000033100,36733711000001100,Buvidal 96mg/0.27ml prolonged-release solution for injection pre-filled syringes,Prolonged-release solution for injection,Subcutaneous,Buprenorphine,355.560mg/1.000ml,buvidal 96mg/0.27ml prolonged-release solution for injection pre-filled syringes (camurus ab),NA,1,1,1
13011341000033100,37039311000001100,Cynril 200microgram lozenges with integral oromucosal applicator,Lozenge,Buccal,Fentanyl citrate,200.000microgram,cynril 200microgram lozenges with integral oromucosal applicator (fontus health ltd),NA,1,1,1
13011441000033100,37039711000001100,Cynril 400microgram lozenges with integral oromucosal applicator,Lozenge,Buccal,Fentanyl citrate,400.000microgram,cynril 400microgram lozenges with integral oromucosal applicator (fontus health ltd),NA,1,1,1
13011541000033100,37040211000001100,Cynril 600microgram lozenges with integral oromucosal applicator,Lozenge,Buccal,Fentanyl citrate,600.000microgram,cynril 600microgram lozenges with integral oromucosal applicator (fontus health ltd),NA,1,1,1
13011641000033100,37040511000001100,Cynril 800microgram lozenges with integral oromucosal applicator,Lozenge,Buccal,Fentanyl citrate,800.000microgram,cynril 800microgram lozenges with integral oromucosal applicator (fontus health ltd),NA,1,1,1
13011741000033100,37042311000001100,Cynril 1.2mg lozenges with integral oromucosal applicator,Lozenge,Buccal,Fentanyl citrate,1.200mg,cynril 1.2mg lozenges with integral oromucosal applicator (fontus health ltd),NA,1,1,1
13011841000033100,37046711000001100,Cynril 1.6mg lozenges with integral oromucosal applicator,Lozenge,Buccal,Fentanyl citrate,1.600mg,cynril 1.6mg lozenges with integral oromucosal applicator (fontus health ltd),NA,1,1,1
13118741000033100,36022611000001100,Morphine (Opium tincture) 10mg/ml oral drops sugar free,Oral drops/ Oral solution,Oral,Morphine anhydrous,10.000mg/1.000ml,morphine (opium tincture) 10mg/ml oral drops sugar free,NA,1,1,1
13300641000033100,12303411000001100,Pethidine 50mg capsules,Capsule,Oral,Pethidine hydrochloride,50.000mg,pethidine 50mg capsules,NA,1,1,1
13576441000033100,38420111000001100,Myloxifin 5mg/2.5mg modified-release tablets,Modified-release tablet,Oral,Naloxone hydrochloride/ Oxycodone hydrochloride,2.500mg + 5.000mg,myloxifin 5mg/2.5mg modified-release tablets (zentiva),NA,1,1,1
13576541000033100,38419711000001100,Myloxifin 10mg/5mg modified-release tablets,Modified-release tablet,Oral,Naloxone hydrochloride/ Oxycodone hydrochloride,5.000mg + 10.000mg,myloxifin 10mg/5mg modified-release tablets (zentiva),NA,1,1,1
13576641000033100,38419911000001100,Myloxifin 20mg/10mg modified-release tablets,Modified-release tablet,Oral,Naloxone hydrochloride/ Oxycodone hydrochloride,10.000mg + 20.000mg,myloxifin 20mg/10mg modified-release tablets (zentiva),NA,1,1,1
13576741000033100,38420311000001100,Myloxifin 40mg/20mg modified-release tablets,Modified-release tablet,Oral,Naloxone hydrochloride/ Oxycodone hydrochloride,20.000mg + 40.000mg,myloxifin 40mg/20mg modified-release tablets (zentiva),NA,1,1,1
13708441000033100,38752411000001100,Oxycodone 5mg tablets,Tablet,Oral,Oxycodone hydrochloride,5.000mg,oxycodone 5mg tablets,NA,1,1,1
13708541000033100,38752211000001100,Oxycodone 10mg tablets,Tablet,Oral,Oxycodone hydrochloride,10.000mg,oxycodone 10mg tablets,NA,1,1,1
13708641000033100,38752311000001100,Oxycodone 20mg tablets,Tablet,Oral,Oxycodone hydrochloride,20.000mg,oxycodone 20mg tablets,NA,1,1,1
13712041000033100,38811311000001100,Brimisol PR 200mg tablets,Modified-release tablet,Oral,Tramadol hydrochloride,200.000mg,brimisol pr 200mg tablets (bristol laboratories ltd),NA,1,1,1
1426141000033110,867611000001105,Temgesic 200microgram sublingual tablets,Sublingual tablet,Sublingual,Buprenorphine hydrochloride,200.000microgram,temgesic 200microgram sublingual tablets (indivior uk ltd),NA,1,1,1
1428641000033110,762111000001101,Temgesic 400microgram sublingual tablets,Sublingual tablet,Sublingual,Buprenorphine hydrochloride,400.000microgram,temgesic 400microgram sublingual tablets (indivior uk ltd),NA,1,1,1
1454241000033110,322623000,Tramadol 50mg capsules,Capsule,Oral,Tramadol hydrochloride,50.000mg,tramadol 50mg capsules,NA,1,1,1
1462341000033110,35920311000001100,Tramadol 100mg modified-release tablets,Modified-release tablet,Oral,Tramadol hydrochloride,100.000mg,tramadol 100mg modified-release tablets,NA,1,1,1
1462441000033110,35920611000001100,Tramadol 150mg modified-release tablets,Modified-release tablet,Oral,Tramadol hydrochloride,150.000mg,tramadol 150mg modified-release tablets,NA,1,1,1
1462541000033110,35920811000001100,Tramadol 200mg modified-release tablets,Modified-release tablet,Oral,Tramadol hydrochloride,200.000mg,tramadol 200mg modified-release tablets,NA,1,1,1
1462641000033110,35920211000001100,Tramadol 100mg modified-release capsules,Modified-release capsule,Oral,Tramadol hydrochloride,100.000mg,tramadol 100mg modified-release capsules,NA,1,1,1
1462741000033110,35920511000001100,Tramadol 150mg modified-release capsules,Modified-release capsule,Oral,Tramadol hydrochloride,150.000mg,tramadol 150mg modified-release capsules,NA,1,1,1
1462841000033110,35920711000001100,Tramadol 200mg modified-release capsules,Modified-release capsule,Oral,Tramadol hydrochloride,200.000mg,tramadol 200mg modified-release capsules,NA,1,1,1
1462941000033110,35940111000001100,Tramadol 50mg modified-release capsules,Modified-release capsule,Oral,Tramadol hydrochloride,50.000mg,tramadol 50mg modified-release capsules,NA,1,1,1
1465741000033110,322633008,Tramadol 50mg soluble tablets sugar free,Soluble tablet,Oral,Tramadol hydrochloride,50.000mg,tramadol 50mg soluble tablets sugar free,NA,1,1,1
1548041000033110,400911000001108,Zamadol 50mg capsules,Capsule,Oral,Tramadol hydrochloride,50.000mg,zamadol 50mg capsules (mylan),NA,1,1,1
1549241000033110,331011000001101,Zamadol SR 100mg capsules,Modified-release capsule,Oral,Tramadol hydrochloride,100.000mg,zamadol sr 100mg capsules (mylan),NA,1,1,1
1549341000033110,711511000001103,Zamadol SR 150mg capsules,Modified-release capsule,Oral,Tramadol hydrochloride,150.000mg,zamadol sr 150mg capsules (mylan),NA,1,1,1
1549441000033110,9411000001102,Zamadol SR 200mg capsules,Modified-release capsule,Oral,Tramadol hydrochloride,200.000mg,zamadol sr 200mg capsules (mylan),NA,1,1,1
1549541000033110,21011000001101,Zamadol SR 50mg capsules,Modified-release capsule,Oral,Tramadol hydrochloride,50.000mg,zamadol sr 50mg capsules (mylan),NA,1,1,1
1561141000033110,3652111000001100,Zomorph 10mg modified-release capsules,Modified-release capsule,Oral,Morphine sulfate,10.000mg,zomorph 10mg modified-release capsules (ethypharm uk ltd),NA,1,1,1
1561241000033110,3881611000001100,Zomorph 100mg modified-release capsules,Modified-release capsule,Oral,Morphine sulfate,100.000mg,zomorph 100mg modified-release capsules (ethypharm uk ltd),NA,1,1,1
1561341000033110,4035511000001100,Zomorph 200mg modified-release capsules,Modified-release capsule,Oral,Morphine sulfate,200.000mg,zomorph 200mg modified-release capsules (ethypharm uk ltd),NA,1,1,1
1561441000033110,3651611000001100,Zomorph 30mg modified-release capsules,Modified-release capsule,Oral,Morphine sulfate,30.000mg,zomorph 30mg modified-release capsules (ethypharm uk ltd),NA,1,1,1
1561541000033110,3778011000001100,Zomorph 60mg modified-release capsules,Modified-release capsule,Oral,Morphine sulfate,60.000mg,zomorph 60mg modified-release capsules (ethypharm uk ltd),NA,1,1,1
1564341000033110,203811000001106,Zydol 50mg capsules,Capsule,Oral,Tramadol hydrochloride,50.000mg,zydol 50mg capsules (grunenthal ltd),NA,1,1,1
1564541000033110,306311000001100,Zydol SR 100mg tablets,Modified-release tablet,Oral,Tramadol hydrochloride,100.000mg,zydol sr 100mg tablets (grunenthal ltd),NA,1,1,1
1564641000033110,362111000001102,Zydol SR 150mg tablets,Modified-release tablet,Oral,Tramadol hydrochloride,150.000mg,zydol sr 150mg tablets (grunenthal ltd),NA,1,1,1
1564741000033110,315611000001102,Zydol SR 200mg tablets,Modified-release tablet,Oral,Tramadol hydrochloride,200.000mg,zydol sr 200mg tablets (grunenthal ltd),NA,1,1,1
